Designator,Mid X,Mid Y,Rotation,Layer
R51,139.0,-127.1,270.0,top
R52,147.916667,-126.85,270.0,top
R53,157.0,-126.85,270.0,top
R54,165.583333,-126.85,270.0,top
R55,174.416667,-126.85,270.0,top
R56,183.25,-126.85,270.0,top
R57,121.5,-137.85,270.0,top
R58,130.5,-137.85,270.0,top
R59,139.5,-137.85,270.0,top
R6,177.43,-89.5,0.0,bottom
R60,148.5,-137.85,270.0,top
R61,157.5,-137.85,270.0,top
R62,163.25,-87.5,180.0,bottom
R63,166.25,-87.5,180.0,bottom
R64,166.5,-137.85,270.0,top
R7,180.5275,-123.5,0.0,bottom
R8,180.5275,-118.5,180.0,bottom
R9,152.02,-88.3,180.0,bottom
RF1,105.0375,-33.4425,0.0,bottom
RF2,175.0725,-33.4425,0.0,bottom
SW1,143.5,-90.0,270.0,bottom
SW10,153.383334,-112.1,90.0,top
SW11,162.227778,-112.1,90.0,top
SW12,171.072223,-112.1,90.0,top
SW13,179.916667,-112.1,90.0,top
SW14,100.316667,-122.85,90.0,top
SW15,109.161111,-122.7,90.0,top
SW16,118.005556,-122.7,90.0,top
SW17,126.85,-122.7,90.0,top
SW18,135.694445,-122.7,90.0,top
SW19,144.538889,-122.7,90.0,top
SW2,136.45,-90.0,270.0,bottom
SW20,153.383334,-122.7,90.0,top
SW21,162.227778,-122.7,90.0,top
SW22,171.072223,-122.7,90.0,top
SW23,179.916667,-122.7,90.0,top
SW24,100.316667,-133.6,90.0,top
SW25,109.161111,-133.6,90.0,top
SW26,118.005556,-133.6,90.0,top
SW27,126.85,-133.6,90.0,top
SW28,135.694445,-133.6,90.0,top
SW29,144.538889,-133.6,90.0,top
SW3,182.2025,-99.4,270.0,bottom
SW30,153.383334,-133.6,90.0,top
SW31,162.227778,-133.6,90.0,top
SW32,171.072223,-133.6,90.0,top
SW33,179.916667,-133.6,90.0,top
SW34,118.0,-144.1,90.0,top
SW35,126.845556,-144.1,90.0,top
SW36,135.691111,-144.1,90.0,top
SW37,144.536667,-144.1,90.0,top
SW38,153.382222,-144.1,90.0,top
SW39,162.227778,-144.1,90.0,top
SW4,100.316667,-112.1,90.0,top
SW5,109.161111,-112.1,90.0,top
SW6,118.005556,-112.1,90.0,top
SW7,126.85,-112.1,90.0,top
SW8,135.694445,-112.1,90.0,top
SW9,144.538889,-112.1,90.0,top
U1,139.95742,-75.11,0.0,bottom
U10,113.25,-72.6075,90.0,bottom
U2,116.0,-47.0,270.0,bottom
U3,160.25,-66.79,90.0,bottom
U4,155.5,-89.0,0.0,bottom
U5,155.0,-75.8,90.0,bottom
U6,120.25,-72.0,90.0,top
U7,167.5,-65.0,0.0,bottom
U8,119.0,-80.0,90.0,bottom
U9,120.25,-68.1075,180.0,bottom
USBC1,182.0,-87.669998,270.0,bottom
